11-02 17:30:37.486,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,INFO ,           main,|   |   |--> sample.b.AopAspectANDRetryLogTest$AOP2ServiceImpl.methodAB, args: Myinno,10,  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:149)
11-02 17:30:37.487,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,ERROR,           main,|   |   |<--, Exec: 0ms1, Error: 오류 발생:8  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:160)
11-02 17:30:37.487,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,ERROR,           main,    ERR Occur OnlineContext: TRAN_ID: sample.b.AopAspectANDRetryLogTest$AOP1Controller.methodA, GUID: 34a7c6e4-3e89-4673-855a-7319255998fd, GL_MAGAM_DT: null, GL_OP: null >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:161)
11-02 17:30:37.487,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,ERROR,           main,    ERR Occur Args: Myinno,10, >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:162)
11-02 17:30:37.502,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,INFO ,           main,|   |   |--> sample.b.AopAspectANDRetryLogTest$AOP2ServiceImpl.methodAB, args: Myinno,10,  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:149)
11-02 17:30:37.503,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,ERROR,           main,|   |   |<--, Exec: 1ms1, Error: 오류 발생:6  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:160)
11-02 17:30:37.503,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,ERROR,           main,    ERR Occur OnlineContext: TRAN_ID: sample.b.AopAspectANDRetryLogTest$AOP1Controller.methodA, GUID: 34a7c6e4-3e89-4673-855a-7319255998fd, GL_MAGAM_DT: null, GL_OP: null >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:161)
11-02 17:30:37.503,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,ERROR,           main,    ERR Occur Args: Myinno,10, >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:162)
11-02 17:30:37.517,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,INFO ,           main,|   |   |--> sample.b.AopAspectANDRetryLogTest$AOP2ServiceImpl.methodAB, args: Myinno,10,  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:149)
11-02 17:30:37.517,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,ERROR,           main,|   |   |<--, Exec: 0ms0, Error: 오류 발생:3  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:160)
11-02 17:30:37.518,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,ERROR,           main,    ERR Occur OnlineContext: TRAN_ID: sample.b.AopAspectANDRetryLogTest$AOP1Controller.methodA, GUID: 34a7c6e4-3e89-4673-855a-7319255998fd, GL_MAGAM_DT: null, GL_OP: null >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:161)
11-02 17:30:37.518,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 3,ERROR,           main,    ERR Occur Args: Myinno,10, >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:162)
11-02 17:30:37.522,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 2,ERROR,           main,|   |<--, Exec: 83ms84, Error: 오류 발생:3  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:160)
11-02 17:30:37.522,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 2,ERROR,           main,    ERR Occur OnlineContext: TRAN_ID: sample.b.AopAspectANDRetryLogTest$AOP1Controller.methodA, GUID: 34a7c6e4-3e89-4673-855a-7319255998fd, GL_MAGAM_DT: null, GL_OP: null >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:161)
11-02 17:30:37.522,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 2,ERROR,           main,    ERR Occur Args: Myinno,10, >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:162)
11-02 17:30:37.523,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 1,ERROR,           main,    ERR1 Occur OnlineContext: TRAN_ID: sample.b.AopAspectANDRetryLogTest$AOP1Controller.methodA, GUID: 34a7c6e4-3e89-4673-855a-7319255998fd, GL_MAGAM_DT: null, GL_OP: null >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:78)
11-02 17:30:37.523,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 1,ERROR,           main,    ERR2 Occur Args: Myinno,10, >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:79)
11-02 17:30:37.524,skmsa.apiutil.interceptor.JournalAOP    ,34a7c6e4-3e89-4673-855a-7319255998fd, 1,ERROR,           main,|<--: sample.b.AopAspectANDRetryLogTest$AOP1Controller.methodA, Exec: 0ms, Error: {}  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:80)
java.lang.IllegalStateException: 오류 발생:3
	at sample.b.AopAspectANDRetryLogTest$AOP2ServiceImpl.methodAB(AopAspectANDRetryLogTest.java:101)
