03-09 15:31:31.715,skmsa.apiutil.interceptor.JournalAOP    ,fda4dc40-36e9-4a81-9602-8d11850dc319, 2,INFO ,http-nio-8091-exec-3,|   |--> sample.a.service.impl.SampleAServiceImpl.findOne, args: 1,  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:151)
03-09 15:31:31.731,skmsa.apiutil.interceptor.JournalAOP    ,fda4dc40-36e9-4a81-9602-8d11850dc319, 2,INFO ,http-nio-8091-exec-3,|   |<--, Exec: 16ms16, Result: Optional[SampleA(id=1, version=0, title=string, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER)]  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:157)
03-09 15:31:31.742,skmsa.apiutil.interceptor.JournalAOP    ,fda4dc40-36e9-4a81-9602-8d11850dc319, 1,INFO ,http-nio-8091-exec-3,|<--: sample.a.controller.SampleAController.getLeature, Exec: 20ms, Result: <200 OK OK,LecturesGetDetailOutDTO(id=1, title=string, minEnrollment=5, maxEnrollment=10),[]>  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:73)
03-09 18:54:42.773,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-09 18:57:03.860,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-09 19:01:38.561,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-09 19:03:58.117,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-09 19:06:05.075,skmsa.apiutil.interceptor.JournalAOP    ,f91dada3-e31a-4143-b740-22ceef0f9fb4, 1,INFO ,http-nio-8091-exec-8,|-->: sample.a.controller.SampleAController.registerLecture, args: LecturesPostInDTO(title=string, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),org.springframework.validation.BeanPropertyBindingResult: 0 errors,  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
03-09 19:06:06.118,skmsa.apiutil.interceptor.JournalAOP    ,f91dada3-e31a-4143-b740-22ceef0f9fb4, 2,INFO ,http-nio-8091-exec-8,|   |--> sample.a.service.impl.SampleAServiceImpl.registerLecture, args: SampleA(id=null, version=null, title=string, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:151)
03-09 19:06:06.171,skmsa.apiutil.interceptor.JournalAOP    ,f91dada3-e31a-4143-b740-22ceef0f9fb4, 2,INFO ,http-nio-8091-exec-8,|   |<--, Exec: 52ms53, Result: SampleA(id=2, version=0, title=string, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER)  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:157)
03-09 19:06:06.254,skmsa.apiutil.interceptor.JournalAOP    ,f91dada3-e31a-4143-b740-22ceef0f9fb4, 1,INFO ,http-nio-8091-exec-8,|<--: sample.a.controller.SampleAController.registerLecture, Exec: 1174ms, Result: <200 OK OK,LecturesPostOutDTO(id=2, version=0, title=string, minEnrollment=5, maxEnrollment=10, registerEndDt=null, lectureStatus=OPEN_REGISTER),[]>  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:73)
03-09 19:06:19.115,skmsa.apiutil.interceptor.JournalAOP    ,9ad3e211-b5ae-4d31-8c8b-81f75ca6a64e, 1,INFO ,http-nio-8091-exec-7,|-->: sample.a.controller.SampleAController.registerLecture, args: LecturesPostInDTO(title=string, minEnrollment=50, maxEnrollment=100, lectureStatus=OPEN_REGISTER),org.springframework.validation.BeanPropertyBindingResult: 0 errors,  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
03-09 19:06:20.135,skmsa.apiutil.interceptor.JournalAOP    ,9ad3e211-b5ae-4d31-8c8b-81f75ca6a64e, 2,INFO ,http-nio-8091-exec-7,|   |--> sample.a.service.impl.SampleAServiceImpl.registerLecture, args: SampleA(id=null, version=null, title=string, minEnrollment=50, maxEnrollment=100, lectureStatus=OPEN_REGISTER),  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:151)
03-09 19:06:20.137,skmsa.apiutil.interceptor.JournalAOP    ,9ad3e211-b5ae-4d31-8c8b-81f75ca6a64e, 2,INFO ,http-nio-8091-exec-7,|   |<--, Exec: 2ms2, Result: SampleA(id=3, version=0, title=string, minEnrollment=50, maxEnrollment=100, lectureStatus=OPEN_REGISTER)  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:157)
03-09 19:06:20.153,skmsa.apiutil.interceptor.JournalAOP    ,9ad3e211-b5ae-4d31-8c8b-81f75ca6a64e, 1,INFO ,http-nio-8091-exec-7,|<--: sample.a.controller.SampleAController.registerLecture, Exec: 1037ms, Result: <200 OK OK,LecturesPostOutDTO(id=3, version=0, title=string, minEnrollment=50, maxEnrollment=100, registerEndDt=null, lectureStatus=OPEN_REGISTER),[]>  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:73)
03-09 19:06:29.665,skmsa.apiutil.interceptor.JournalAOP    ,283bc43c-7be0-4e28-879a-3f74bcf85893, 1,INFO ,http-nio-8091-exec-10,|-->: sample.a.controller.SampleAController.getLeature, args: 3,  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
03-09 19:06:29.668,skmsa.apiutil.interceptor.JournalAOP    ,283bc43c-7be0-4e28-879a-3f74bcf85893, 2,INFO ,http-nio-8091-exec-10,|   |--> sample.a.service.impl.SampleAServiceImpl.findOne, args: 3,  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:151)
03-09 19:06:29.678,skmsa.apiutil.interceptor.JournalAOP    ,283bc43c-7be0-4e28-879a-3f74bcf85893, 2,INFO ,http-nio-8091-exec-10,|   |<--, Exec: 10ms10, Result: Optional[SampleA(id=3, version=0, title=string, minEnrollment=50, maxEnrollment=100, lectureStatus=OPEN_REGISTER)]  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:157)
03-09 19:06:29.681,skmsa.apiutil.interceptor.JournalAOP    ,283bc43c-7be0-4e28-879a-3f74bcf85893, 1,INFO ,http-nio-8091-exec-10,|<--: sample.a.controller.SampleAController.getLeature, Exec: 15ms, Result: <200 OK OK,LecturesGetDetailOutDTO(id=3, title=string, minEnrollment=50, maxEnrollment=100),[]>  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:73)
03-09 19:08:31.477,skmsa.apiutil.interceptor.JournalAOP    ,ecd722e9-5fee-4acd-addc-2048b748075d, 1,INFO ,http-nio-8091-exec-4,|-->: sample.a.controller.SampleAController.registerLecture, args: LecturesPostInDTO(title=제목3, minEnrollment=51, maxEnrollment=101, lectureStatus=OPEN_REGISTER),org.springframework.validation.BeanPropertyBindingResult: 1 errors
Field error in object 'lecturesPostInDTO' on field 'maxEnrollment': rejected value [101]; codes [Max.lecturesPostInDTO.maxEnrollment,Max.maxEnrollment,Max.java.lang.Integer,Max]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [lecturesPostInDTO.maxEnrollment,maxEnrollment]; arguments []; default message [maxEnrollment],100]; default message [최대 수강인원은 100명 이하이어야 합니다.],  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
03-09 19:08:31.479,skmsa.apiutil.interceptor.JournalAOP    ,ecd722e9-5fee-4acd-addc-2048b748075d, 1,INFO ,http-nio-8091-exec-4,|<--: sample.a.controller.SampleAController.registerLecture, Exec: 1ms, Result: <422 UNPROCESSABLE_ENTITY Unprocessable Entity,[]>  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:73)
